SUBJECT;LABEL;DICE;HDRFDST
117122;GreyMatter;0.726998248029891;1.4142135623730951
117122-PP;GreyMatter;0.726998248029891;1.4142135623730951
118528;GreyMatter;0.7269926849592371;2.0
118528-PP;GreyMatter;0.7269926849592371;2.0
118730;GreyMatter;0.7334596180320346;1.7320508075688772
118730-PP;GreyMatter;0.7334596180320346;1.7320508075688772
118932;GreyMatter;0.740299849950099;1.7320508075688772
118932-PP;GreyMatter;0.740299849950099;1.7320508075688772
120111;GreyMatter;0.7236759793860892;1.7320508075688772
120111-PP;GreyMatter;0.7236759793860892;1.7320508075688772
122317;GreyMatter;0.7362097536983088;1.7320508075688772
122317-PP;GreyMatter;0.7362097536983088;1.7320508075688772
122620;GreyMatter;0.7425908262749376;2.0
122620-PP;GreyMatter;0.7425908262749376;2.0
123117;GreyMatter;0.7290271941694562;2.23606797749979
123117-PP;GreyMatter;0.7290271941694562;2.23606797749979
123925;GreyMatter;0.7223738040936701;2.0
123925-PP;GreyMatter;0.7223738040936701;2.0
124422;GreyMatter;0.7139220059202065;2.0
124422-PP;GreyMatter;0.7139220059202065;2.0
